#t                         ExternalField.h_x         ExternalField.h_y         ExternalField.h_z         m_x                       m_y                       m_z                   
+1.230000012952814e-08    +0.000000000000000e+00    +0.000000000000000e+00    +8.276056500000000e+06    -4.768371808516747e-10    -3.457069519541278e-09    +7.685455679893494e-01
+1.240000013780218e-08    +0.000000000000000e+00    +0.000000000000000e+00    +8.912677000000000e+06    -1.192092979884762e-09    +3.576278717609682e-10    +7.775836586952209e-01
+1.250000014607622e-08    +0.000000000000000e+00    +0.000000000000000e+00    +9.549296000000000e+06    +9.536743617033494e-10    -1.788139358804841e-10    +7.854928374290466e-01
+1.260000015435025e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.018591700000000e+07    +5.960464760645934e-11    -1.549720796134579e-09    +7.917450666427612e-01
+1.270000016262429e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.082253700000000e+07    -3.576278717609682e-10    -7.152557435219364e-10    +7.961189150810242e-01
+1.280000017089833e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.145915700000000e+07    -1.061707832761272e-09    -1.072883670794056e-09    +7.981402873992920e-01
+1.290000017917237e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.209577700000000e+07    +1.229345791831093e-10    -5.960464760645934e-11    +7.987381815910339e-01
+1.300000018744640e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.273239400000000e+07    -1.139938921035366e-09    -4.768371808516747e-10    +7.990164160728455e-01
+1.310000019572044e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.336901700000000e+07    -7.040799054891522e-10    -5.364418353970279e-10    +7.991869449615479e-01
+1.320000020399448e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.400563500000000e+07    -7.152557435219364e-10    -1.192092952129187e-10    +7.993066906929016e-01
+1.330000021226851e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.464225500000000e+07    -1.508742575317967e-10    -6.556511444877344e-10    +7.993972301483154e-01
+1.340000022054255e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.527887500000000e+07    -7.282943137454367e-10    -4.768371808516747e-10    +7.994688153266907e-01
+1.350000022881659e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.591549400000000e+07    -3.259629233198780e-10    -2.980232449711906e-10    +7.995269894599915e-01
