#t                         m_x                       m_y                       m_z                       unnamed_x                 unnamed_y                 unnamed_z             
+4.099999999999996e-10    +6.568358940437133e-01    +1.109030722504593e-03    +1.228291469641177e-01    +8.344912599265044e-01    +1.408991885663400e-03    +1.560509261678121e-01
+4.149999999999995e-10    +6.509732833587271e-01    -8.093591596579752e-02    +1.293345282045112e-01    +8.270429803465713e-01    -1.028267716488544e-01    +1.643158273963020e-01
+4.199999999999995e-10    +6.422098879766459e-01    -1.712513840817088e-01    +1.307118901329264e-01    +8.159093365857137e-01    -2.175699966497144e-01    +1.660657264219809e-01
+4.249999999999995e-10    +6.265972566886763e-01    -2.680609943230571e-01    +1.258361169382886e-01    +7.960739340560852e-01    -3.405638439042313e-01    +1.598711957131608e-01
+4.299999999999995e-10    +6.009041279493633e-01    -3.657329201258617e-01    +1.150696903462923e-01    +7.634315471713995e-01    -4.646532384725588e-01    +1.461927579585649e-01
+4.349999999999995e-10    +5.632303641171533e-01    -4.564090372851780e-01    +1.003362789209365e-01    +7.155681052803538e-01    -5.798546577915910e-01    +1.274743791749863e-01
+4.399999999999995e-10    +5.137177054999629e-01    -5.325259289871206e-01    +8.382470151159087e-02    +6.526636853994565e-01    -6.765589966287984e-01    +1.064968912504579e-01
+4.449999999999994e-10    +4.560040582719262e-01    -5.880345438173263e-01    +6.662863912734876e-02    +5.793401435117278e-01    -7.470811077778439e-01    +8.464978469777312e-02
+4.499999999999994e-10    +3.974278420533807e-01    -6.216562758992086e-01    +4.885373423788852e-02    +5.049207323358089e-01    -7.897965589587961e-01    +6.206727526004695e-02
+4.549999999999994e-10    +3.448669460561650e-01    -6.386529692462284e-01    +3.059091935413124e-02    +4.381436138480310e-01    -8.113903728388807e-01    +3.886489009755632e-02
+4.599999999999994e-10    +3.015244115645334e-01    -6.457885668545386e-01    +1.203643359083035e-02    +3.830781605981169e-01    -8.204559459789672e-01    +1.529194540571996e-02
+4.649999999999994e-10    +2.689156729828631e-01    -6.475315472214291e-01    -6.478630000160006e-03    +3.416496887524216e-01    -8.226703527974485e-01    -8.230914541146210e-03
+4.699999999999994e-10    +2.490354341542047e-01    -6.466031309418613e-01    -2.423607873456298e-02    +3.163924126227117e-01    -8.214908264075259e-01    -3.079124643200060e-02
+4.749999999999994e-10    +2.435463430415570e-01    -6.444121426837016e-01    -4.048399928414617e-02    +3.094186790006878e-01    -8.187072383475316e-01    -5.143376583990780e-02
+4.799999999999994e-10    +2.529934927372369e-01    -6.407456987570674e-01    -5.470366377421274e-02    +3.214210131053730e-01    -8.140491259643143e-01    -6.949944380247375e-02
+4.849999999999994e-10    +2.766642161219205e-01    -6.339113098264222e-01    -6.661985988951655e-02    +3.514939916983210e-01    -8.053662298539163e-01    -8.463863092663147e-02
+4.899999999999993e-10    +3.114241165030258e-01    -6.218038659167131e-01    -7.652264151976632e-02    +3.956554532246879e-01    -7.899840678644097e-01    -9.721983240228378e-02
+4.949999999999993e-10    +3.522422516473796e-01    -6.036951761648426e-01    -8.509340782543762e-02    +4.475137291400952e-01    -7.669774942838695e-01    -1.081087464184220e-01
+4.999999999999993e-10    +3.942704917146193e-01    -5.809639835231676e-01    -9.257460702179093e-02    +5.009094088284989e-01    -7.380981626894836e-01    -1.176133965140371e-01
+5.049999999999993e-10    +4.349502675332452e-01    -5.561751637908479e-01    -9.899330091198648e-02    +5.525919031687879e-01    -7.066046745928390e-01    -1.257681639378092e-01
+5.099999999999993e-10    +4.742380771702299e-01    -5.314107736869141e-01    -1.047098026380339e-01    +6.025059441964212e-01    -6.751422236419358e-01    -1.330308162547725e-01
+5.149999999999993e-10    +5.127712639897771e-01    -5.062913356623124e-01    -1.107851388019353e-01    +6.514612584684017e-01    -6.432286944394640e-01    -1.407493574853371e-01
+5.199999999999992e-10    +5.502396082800892e-01    -4.769515896421543e-01    -1.185228968391608e-01    +6.990637206933143e-01    -6.059533843592630e-01    -1.505799582671224e-01
+5.249999999999992e-10    +5.848053979390140e-01    -4.375052777803989e-01    -1.280967017649997e-01    +7.429785700862908e-01    -5.558379707780751e-01    -1.627432042274934e-01
+5.299999999999992e-10    +6.127829629135680e-01    -3.828711876493840e-01    -1.380947944657505e-01    +7.785232680192229e-01    -4.864269183039321e-01    -1.754454956984226e-01
+5.349999999999992e-10    +6.308073183719126e-01    -3.118152915352658e-01    -1.465021600740867e-01    +8.014226972864001e-01    -3.961524299405858e-01    -1.861268137913955e-01
+5.399999999999992e-10    +6.375008175347282e-01    -2.279406637512100e-01    -1.524317810584078e-01    +8.099265969671982e-01    -2.895921087856564e-01    -1.936602280444288e-01
+5.449999999999992e-10    +6.331946230444242e-01    -1.368108473890939e-01    -1.565742215411683e-01    +8.044556997487473e-01    -1.738142775762186e-01    -1.989230804691766e-01
+5.499999999999991e-10    +6.179988467958940e-01    -4.305005981895520e-02    -1.596708498560765e-01    +7.851498996513592e-01    -5.469387252433017e-02    -2.028572583779433e-01
+5.549999999999991e-10    +5.914534302492689e-01    +4.834762293817395e-02    -1.613124880945425e-01    +7.514247054283516e-01    +6.142427529614159e-02    -2.049429129141583e-01
+5.599999999999991e-10    +5.565302441367933e-01    +1.315204468494173e-01    -1.606525517795927e-01    +7.070557940397971e-01    +1.670929746573242e-01    -2.041044826579441e-01
+5.649999999999991e-10    +5.211941872819598e-01    +2.047342984260532e-01    -1.575406727642890e-01    +6.621623421547480e-01    +2.601090838564249e-01    -2.001509291695186e-01
+5.699999999999991e-10    +4.898662461075102e-01    +2.731785204975964e-01    -1.514213706882532e-01    +6.223610868661171e-01    +3.470655148753583e-01    -1.923765305021977e-01
+5.749999999999990e-10    +4.601035220076579e-01    +3.439870122307003e-01    -1.422828946310037e-01    +5.845483952057591e-01    +4.370256830325523e-01    -1.807663574468335e-01
+5.799999999999990e-10    +4.293468153211138e-01    +4.212101297430445e-01    -1.314050136875496e-01    +5.454728770332760e-01    +5.351354501946372e-01    -1.669463201191697e-01
+5.849999999999990e-10    +3.975443270013024e-01    +5.015200426636681e-01    -1.196741527458436e-01    +5.050687231381311e-01    +6.371669028382085e-01    -1.520425960443473e-01
+5.899999999999990e-10    +3.629297533724424e-01    +5.718190390968823e-01    -1.073691679124562e-01    +4.610918951034504e-01    +7.264797717558407e-01    -1.364094639483315e-01
+5.949999999999990e-10    +3.211614208485353e-01    +6.182745620924687e-01    -9.540203769288808e-02    +4.080264205321342e-01    +7.855001880678510e-01    -1.212055664981605e-01
+5.999999999999990e-10    +2.695091974313016e-01    +6.353997839081393e-01    -8.443448965508754e-02    +3.424037446273610e-01    +8.072572936996707e-01    -1.072716096858681e-01
+6.049999999999989e-10    +2.114699897629450e-01    +6.233028121325463e-01    -7.485054528392299e-02    +2.686665874903916e-01    +7.918884362577265e-01    -9.509548184954977e-02
+6.099999999999989e-10    +1.577340550821728e-01    +5.901669689146343e-01    -6.845295017278678e-02    +2.003966158860360e-01    +7.497902930131332e-01    -8.696751982249837e-02
+6.149999999999989e-10    +1.175651956058547e-01    +5.524165328049881e-01    -6.517780462932964e-02    +1.493632261791503e-01    +7.018294411815234e-01    -8.280654086902427e-02
+6.199999999999989e-10    +8.925027813433767e-02    +5.209699813620841e-01    -6.230222501157307e-02    +1.133899315255109e-01    +6.618774949314816e-01    -7.915319902214743e-02
+6.249999999999989e-10    +6.219009864005556e-02    +4.980771680131060e-01    -5.801779613249557e-02    +7.901074566677034e-02    +6.327928288404723e-01    -7.370995439165690e-02
+6.299999999999989e-10    +2.652045300487859e-02    +4.842682134040366e-01    -5.307937402445328e-02    +3.369347875557777e-02    +6.152489460617042e-01    -6.743583002610441e-02
+6.349999999999988e-10    -2.115325023062125e-02    +4.738392147564766e-01    -4.994731879628843e-02    -2.687460078927562e-02    +6.019992008816775e-01    -6.345664323498679e-02
+6.399999999999988e-10    -7.765025419242098e-02    +4.605809001037197e-01    -5.091188154260078e-02    -9.865243212535865e-02    +5.851548904543535e-01    -6.468209267943326e-02
+6.449999999999988e-10    -1.360258295991311e-01    +4.523148532258923e-01    -5.572913070125252e-02    -1.728169348753229e-01    +5.746531137758236e-01    -7.080227027057392e-02
+6.499999999999988e-10    -1.926011731159469e-01    +4.566895177242689e-01    -6.001440030121037e-02    -2.446942943805579e-01    +5.802110001856715e-01    -7.624658301295215e-02
+6.549999999999988e-10    -2.499180981692923e-01    +4.727190706898078e-01    -5.985792961815999e-02    -3.175138120661976e-01    +6.005760898093838e-01    -7.604779147518095e-02
+6.599999999999988e-10    -3.123634061469902e-01    +4.980325169777281e-01    -5.773261842441844e-02    -3.968487939137941e-01    +6.327361009741858e-01    -7.334764425137032e-02
+6.649999999999987e-10    -3.802173093032907e-01    +5.207799264110593e-01    -5.929164369133263e-02    -4.830552415962404e-01    +6.616360355396089e-01    -7.532834136467075e-02
+6.699999999999987e-10    -4.454571485051085e-01    +5.224083925095540e-01    -6.537490150162269e-02    -5.659405956193935e-01    +6.637049552478700e-01    -8.305694682092016e-02
+6.749999999999987e-10    -4.985096554536798e-01    +4.973525413964172e-01    -7.361187365537042e-02    -6.333422917922682e-01    +6.318722114018998e-01    -9.352178489218275e-02
+6.799999999999987e-10    -5.364344020861940e-01    +4.495102733712333e-01    -8.249537694131180e-02    -6.815246001690602e-01    +5.710899751019143e-01    -1.048080223174979e-01
+6.849999999999987e-10    -5.611816649144773e-01    +3.819185126562651e-01    -8.880122875347474e-02    -7.129652914049937e-01    +4.852165719106892e-01    -1.128194271011888e-01
+6.899999999999987e-10    -5.777789285282920e-01    +3.009845378878030e-01    -8.987052193868796e-02    -7.340516412071603e-01    +3.823922664976555e-01    -1.141779335796730e-01
+6.949999999999986e-10    -5.905064743208440e-01    +2.163432963611699e-01    -8.808014408860755e-02    -7.502216249436033e-01    +2.748579844588561e-01    -1.119033096113327e-01
+6.999999999999986e-10    -5.969645852223076e-01    +1.360963709878492e-01    -8.681577792080160e-02    -7.584264705553884e-01    +1.729065556967216e-01    -1.102969684750631e-01
+7.049999999999986e-10    -6.016376374383670e-01    +6.855526253073385e-02    -8.625829720520510e-02    -7.643634500457664e-01    +8.709750475368669e-02    -1.095887051341564e-01
+7.099999999999986e-10    -6.113374135286106e-01    +1.570336541949513e-02    -8.596267747159196e-02    -7.766867387758031e-01    +1.995067765454468e-02    -1.092131286983997e-01
+7.149999999999986e-10    -6.229099807539709e-01    -2.679827360874611e-02    -8.501570487134440e-02    -7.913893552010749e-01    -3.404644190490819e-02    -1.080100270325765e-01
+7.199999999999985e-10    -6.341197237394185e-01    -6.993801980241210e-02    -8.194286284579173e-02    -8.056310137830827e-01    -8.885425840901988e-02    -1.041060689256709e-01
+7.249999999999985e-10    -6.470947509578597e-01    -1.192523655005256e-01    -7.529162017297079e-02    -8.221154156089930e-01    -1.515067273852832e-01    -9.565585490958076e-02
+7.299999999999985e-10    -6.632183872970941e-01    -1.674726173419129e-01    -6.710666224688443e-02    -8.426000354742238e-01    -2.127691813376164e-01    -8.525709943028494e-02
+7.349999999999985e-10    -6.813036854100997e-01    -2.090651416027461e-01    -5.900066262998559e-02    -8.655768906450895e-01    -2.656112965275583e-01    -7.495865822965912e-02
+7.399999999999985e-10    -6.969787520633355e-01    -2.398538227455540e-01    -4.945807208538884e-02    -8.854916155246347e-01    -3.047274373343019e-01    -6.283506924992330e-02
+7.449999999999985e-10    -7.038415367013497e-01    -2.588560233937082e-01    -3.838385130726725e-02    -8.942105875709457e-01    -3.288691910113612e-01    -4.876558776506411e-02
+7.499999999999984e-10    -6.973706810622714e-01    -2.690253936522594e-01    -2.629499820017116e-02    -8.859895501337047e-01    -3.417890857319028e-01    -3.340704485977081e-02
+7.549999999999984e-10    -6.823146893145620e-01    -2.716362228231756e-01    -1.289847255783029e-02    -8.668613422557215e-01    -3.451060696909824e-01    -1.638714131416652e-02
+7.599999999999984e-10    -6.680457477274422e-01    -2.661806475712404e-01    +7.500541140275604e-04    -8.487330591475196e-01    -3.381749170135857e-01    +9.529223483427095e-04
+7.649999999999984e-10    -6.597813539877934e-01    -2.543536434414012e-01    +1.293824674326502e-02    -8.382333827338716e-01    -3.231490457617801e-01    +1.643767328176597e-02
+7.699999999999984e-10    -6.554747454751361e-01    -2.392225138198076e-01    +2.289427057069931e-02    -8.327619595118355e-01    -3.039253773591600e-01    +2.908651744962295e-02
+7.749999999999984e-10    -6.548489330710864e-01    -2.236843281067160e-01    +3.015351711669846e-02    -8.319668827106607e-01    -2.841845558080363e-01    +3.830918303659953e-02
+7.799999999999983e-10    -6.621422069031575e-01    -2.091308950306411e-01    +3.450647215911284e-02    -8.412327789935897e-01    -2.656948343813604e-01    +4.383948820214834e-02
+7.849999999999983e-10    -6.774062205646120e-01    -1.942440166828647e-01    +3.617986437380535e-02    -8.606252727768768e-01    -2.467814802521755e-01    +4.596548525902813e-02
+7.899999999999983e-10    -6.966417250003206e-01    -1.767724158821067e-01    +3.595500869683126e-02    -8.850634322584716e-01    -2.245843100040661e-01    +4.567981253790969e-02
+7.949999999999983e-10    -7.170469043820841e-01    -1.565328059372220e-01    +3.522635589066158e-02    -9.109876303812087e-01    -1.988704631261978e-01    +4.475407994049312e-02
+7.999999999999983e-10    -7.349378969323722e-01    -1.350455521942621e-01    +3.562775354103782e-02    -9.337176258793415e-01    -1.715715204056134e-01    +4.526404420102077e-02
+8.049999999999983e-10    -7.477077957594596e-01    -1.138382159073456e-01    +3.754455718501871e-02    -9.499414179375764e-01    -1.446282048252134e-01    +4.769928853282774e-02
+8.099999999999982e-10    -7.564700712179507e-01    -9.421959575903212e-02    +4.013637285154109e-02    -9.610736388674710e-01    -1.197033077633361e-01    +5.099211637714401e-02
+8.149999999999982e-10    -7.629864898236211e-01    -7.586988836266974e-02    +4.289652498186587e-02    -9.693525627535831e-01    -9.639052814314371e-02    +5.449881089507524e-02
